"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"5068","FUTCUR","USDINR","FUTURE","28-Apr-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",1270519,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",83.81,88.9925,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",86.84,"USDINR"
"5065","FUTCUR","GBPINR","FUTURE","28-Apr-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",15971,1,1000,0.0025,"Pound-Indian Rupees","","","","",107.0425,113.665,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",111.2325,"GBPINR"
"5067","FUTCUR","JPYINR","FUTURE","28-Apr-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",6730,1,1000,0.0025,"YEN - Indian Rupees","","","","",57.265,60.8075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",60.1075,"JPYINR"
"1011","FUTCUR","EURINR","FUTURE","28-Apr-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",25028,1,1000,0.0025,"EURO - Indian Rupees","","","","",91.705,97.3775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",95.9125,"EURINR"
"1074","FUTCUR","EURINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO - Indian Rupees","","","","",92.085,97.7825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",96.565,"EURINR"
"1092","FUTCUR","GBPINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"Pound-Indian Rupees","","","","",107.23,113.8625,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",111.68,"GBPINR"
"1396","FUTCUR","USDINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",53952,1,1000,0.0025,"US Dollar - Indian Rupee","","","","",83.975,89.1675,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",87,"USDINR"
"1108","FUTCUR","JPYINR","FUTURE","28-May-2025",0,"XX",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"YEN - Indian Rupees","","","","",57.4675,61.02,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",60.525,"JPYINR"
"15363","OPTCUR","USDINR","OPTION","26-Jun-2025",88.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",1.2025,1.7425,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.12,"USDINR"
"15298","OPTCUR","USDINR","OPTION","26-Jun-2025",80.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",6.04,6.7,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.8375,"USDINR"
"15362","OPTCUR","USDINR","OPTION","26-Jun-2025",88.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",0.0875,0.2125,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.265,"USDINR"
"15300","OPTCUR","USDINR","OPTION","26-Jun-2025",80.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",5.7925,6.4525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.59,"USDINR"
"15330","OPTCUR","USDINR","OPTION","26-Jun-2025",84.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"US Dollars","","","","",2.115,2.745,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.8825,"USDINR"
"2435","OPTCUR","EURINR","OPTION","26-Jun-2025",96.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.8075,1.5475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.9875,"EURINR"
"2810","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.8,1.595,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.6325,"GBPINR"
"2028","OPTCUR","EURINR","OPTION","26-Jun-2025",91.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.1975,0.4825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.1675,"EURINR"
"2809","OPTCUR","GBPINR","OPTION","26-Jun-2025",112.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",1.95,3.205,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.0025,"GBPINR"
"2610","OPTCUR","GBPINR","OPTION","26-Jun-2025",103.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",0.05,0.165,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0625,"GBPINR"
"2622","OPTCUR","GBPINR","OPTION","26-Jun-2025",104.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"POUND STERLING","","","","",6.0425,8.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.0075,"GBPINR"
"15472","OPTCUR","EURINR","OPTION","26-Jun-2025",83.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",11.1725,12.9075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.125,"EURINR"
"2000","OPTCUR","EURINR","OPTION","26-Jun-2025",91.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.845,5.38,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.0325,"EURINR"
"1931","OPTCUR","EURINR","OPTION","26-Jun-2025",88.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.5325,8.2325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",8.9,"EURINR"
"1245","OPTCUR","EURINR","OPTION","26-Jun-2025",95.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.9775,1.8075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2775,"EURINR"
"4471","OPTCUR","EURINR","OPTION","26-Jun-2025",96.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",1.7425,2.8275,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.48,"EURINR"
